# Each key-value pair is on a new line (\n-only, LF separator)
# Key and value are separated by tab (\t)
# Lines starting with # are comments and are ignored completely
# Inline comments are supported after the second tab

# === core ===
Loading...	Загрузка...
Variable '{var}' already exists. Do you want to overwrite it?	Переменная '{var}' уже существует. Хотите перезаписать её?
Clusters assigned to {computed} complete cases out of {total} total cases. Remaining cases will have NA.	Кластеры назначены {computed} полным наблюдениям из {total} всего. Остальные наблюдения получат NA.
Clusters assigned to {computed} complete cases out of {filtered} filtered cases ({total} total). Remaining cases will have NA.	Кластеры назначены {computed} полным наблюдениям из {filtered} отфильтрованных ({total} всего). Остальные наблюдения получат NA.
Cluster assignments inserted as '{var}'	Принадлежность к кластерам добавлена как '{var}'
Bicluster membership data is missing. Cannot insert into dataset.	Данные о принадлежности к бикластерам отсутствуют. Невозможно добавить в набор данных.
All bicluster variables already exist in the dataset.	Все переменные бикластеров уже существуют в наборе данных.
Bicluster memberships assigned to {computed} complete cases out of {total} total cases. Remaining cases will have NA.	Принадлежность к бикластерам назначена {computed} полным наблюдениям из {total} всего. Остальные наблюдения получат NA.
Bicluster memberships assigned to {computed} complete cases out of {filtered} filtered cases ({total} total). Remaining cases will have NA.	Принадлежность к бикластерам назначена {computed} полным наблюдениям из {filtered} отфильтрованных ({total} всего). Остальные наблюдения получат NA.
Created {n} bicluster membership variables: {vars}	Создано переменных принадлежности к бикластерам: {n}: {vars}
Please select at least two numerical variables for biclustering analysis.	Пожалуйста, выберите не менее двух числовых переменных для бикластерного анализа.
Maximum biclusters must be greater than minimum.	Максимальное число бикластеров должно быть больше минимального.
Not enough complete cases ({n}) for the requested maximum biclusters ({k}).	Недостаточно полных наблюдений ({n}) для запрошенного максимального числа бикластеров ({k}).
Comparing bicluster solutions...	Сравнение бикластерных решений...
An error occurred during bicluster comparison: 	Произошла ошибка при сравнении бикластеров: 
Number of biclusters must be at least 1.	Число бикластеров должно быть не менее 1.
Not enough complete cases ({n}) for {k} biclusters.	Недостаточно полных наблюдений ({n}) для {k} бикластеров.
Running biclustering analysis...	Выполняется бикластерный анализ...
An error occurred during biclustering analysis: 	Произошла ошибка при бикластерном анализе: 
No biclusters were found. Try adjusting the algorithm parameters.	Бикластеры не найдены. Попробуйте изменить параметры алгоритма.
Mode:	Режим:
Algorithm:	Алгоритм:
(standardized)	(стандартизированные)
Variables to cluster	Переменные для кластеризации
Complete cases	Полные наблюдения
Suggested k (silhouette):	Рекомендуемое k (силуэт):
Suggested k (gap statistic):	Рекомендуемое k (статистика разрыва):
Complete cases used	Использованы полные наблюдения
Medoid row indices:	Индексы строк медоидов:
Between-cluster sum of squares:	Межкластерная сумма квадратов:
Variance explained:	Объяснённая дисперсия:
Matrix size:	Размер матрицы:
Suggested k:	Рекомендуемое k:
Based on variance explained elbow detection	На основе метода локтя по объяснённой дисперсии
Biclusters found:	Найдено бикластеров:
Row coverage:	Покрытие строк:
Column coverage:	Покрытие столбцов:
Cell coverage:	Покрытие ячеек:
Row overlap:	Перекрытие строк:
Column overlap:	Перекрытие столбцов:
Elbow plot (within-cluster SS)	График локтя (внутрикластерная СС)
Silhouette score by k	Силуэтный коэффициент по k
Gap statistic by k	Статистика разрыва по k
Variable cluster solution comparison	Сравнение решений кластеризации переменных
Cluster solution comparison	Сравнение кластерных решений
Variable cluster comparison	Сравнение кластеров переменных
Cluster comparison	Сравнение кластеров
Warnings	Предупреждения
Cluster validity metrics	Метрики качества кластеризации
Cluster sizes	Размеры кластеров
Variable cluster assignments	Распределение переменных по кластерам
Cluster profiles (variable means)	Профили кластеров (средние значения переменных)
Medoids are actual observations that represent each cluster center.	Медоиды — это реальные наблюдения, представляющие центр каждого кластера.
Variable silhouette plot	График силуэтов переменных
Variable dendrogram	Дендрограмма переменных
Insert cluster assignments into dataset	Добавить принадлежность к кластерам в набор данных
Variable cluster analysis results	Результаты кластерного анализа переменных
Cluster analysis results	Результаты кластерного анализа
Some clusters contain only a single variable. Consider reducing the number of clusters.	Некоторые кластеры содержат только одну переменную. Рассмотрите уменьшение числа кластеров.
Low silhouette score ({score}) suggests variables do not form clear clusters	Низкий силуэтный коэффициент ({score}) свидетельствует о том, что переменные не образуют чётких кластеров
Highly unbalanced clusters: smallest cluster has only {pct}% of cases ({n} observations)	Сильный дисбаланс кластеров: наименьший кластер содержит лишь {pct}% наблюдений ({n} наблюдений)
Some clusters have very few observations (n = {n}). Results may be unstable.	Некоторые кластеры содержат очень мало наблюдений (n = {n}). Результаты могут быть нестабильными.
Extreme size imbalance: largest cluster is {ratio}x bigger than smallest	Крайний дисбаланс размеров: наибольший кластер в {ratio} раз больше наименьшего
Low silhouette score ({score}) suggests no substantial cluster structure	Низкий силуэтный коэффициент ({score}) указывает на отсутствие выраженной кластерной структуры
Moderate silhouette score ({score}) indicates weak cluster structure	Умеренный силуэтный коэффициент ({score}) указывает на слабую кластерную структуру
{pct}% of observations have negative silhouette (may be assigned to wrong cluster)	{pct}% наблюдений имеют отрицательный силуэт (возможно, отнесены не к тому кластеру)
Low variance explained ({pct}%). Clusters may not capture the data structure well.	Низкая объяснённая дисперсия ({pct}%). Кластеры могут плохо отражать структуру данных.
Within SS	Внутрикл. SS
Silhouette	Силуэт
Calinski-Harabasz	Калински-Харабаш
Davies-Bouldin	Дейвис-Болдин
Dunn	Данн
Gap	Gap
Hartigan	Хартиган
Average silhouette width	Средняя ширина силуэта
Higher is better	Чем выше, тем лучше
Lower is better	Чем ниже, тем лучше
Cluster {n}	Кластер {n}
Overall	Общий
Eta²	Эта²
Solution comparison	Сравнение решений
Variance explained (%)	Объяснённая дисперсия (%)
Average coherence (MSR)	Средняя когерентность (MSR)
Mean squared residue	Средний квадрат остатков
Coverage	Покрытие
Stability analysis (bootstrap)	Анализ устойчивости (бутстрэп)
Stability (Jaccard)	Устойчивость (Жаккар)
F-statistic diagnostics	Диагностика по F-статистике
Consensus scoring	Консенсусная оценка
Consensus score (Jaccard)	Консенсусный показатель (Жаккар)
Bicluster solution comparison	Сравнение бикластерных решений
Bicluster comparison	Сравнение бикластеров
Overview	Обзор
Bicluster summary	Сводка по бикластерам
Variable membership	Принадлежность переменных
Bicluster profiles (variable means)	Профили бикластеров (средние значения переменных)
Overlap analysis (Jaccard Index)	Анализ перекрытия (индекс Жаккара)
Heatmap	Тепловая карта
Insert bicluster memberships into dataset	Добавить принадлежность к бикластерам в набор данных
Biclustering results	Результаты бикластеризации
Cheng & Church (CC)	Ченг и Чёрч (CC)
Found	Найдено
Var. Expl. (%)	Объясн. дисп. (%)
Δ var. (%)	Δ Дисп. (%)
Avg MSR	Ср. MSR
Avg overlap	Ср. перекрытие
Cell cov. (%)	Покрытие ячеек (%)
Stability	Стабильность
Row sig. (%)	Знач. строк (%)
Col sig. (%)	Знач. столбцов (%)
Consensus	Консенсус
Bicluster	Бикластер
Rows	Строки
Columns	Столбцы
Mean value	Среднее значение
MSR	MSR
Bicluster {n}	Бикластер {n}
Row variance	Дисперсия строк
Column variance	Дисперсия столбцов

# === sem-view ===
Model specification	Спецификация модели
Auto-detect from names	Автоопределение по именам
Clear	Очистить
Define which indicators load on which factors. Click cells to toggle loadings.	Определите, какие индикаторы нагружают какие факторы. Нажмите на ячейку для переключения нагрузки.
Second-order factors	Факторы второго порядка
Residual covariances	Остаточные ковариации
Select variable...	Выберите переменную...
Add	Добавить
Check data	Проверить данные
Run CFA	Запустить КФА
Factor scaling	Масштабирование факторов
Marker variable (first loading = 1)	Маркерная переменная (первая нагрузка = 1)
Fixed variance (factor variance = 1)	Фиксированная дисперсия (дисперсия фактора = 1)
Allow factors to correlate	Разрешить корреляцию факторов
Estimator	Метод оценки
ML (maximum likelihood)	ML (метод максимального правдоподобия)
MLM (robust ML, Satorra-Bentler)	MLM (робастный ML, Саторра–Бентлер)
MLMVS (robust ML, Satterthwaite)	MLMVS (робастный ML, Сэттертуэйт)
MLMV (robust ML, scale-shifted)	MLMV (робастный ML, со сдвигом масштаба)
DWLS (diagonally weighted LS)	DWLS (диагонально взвешенный МНК)
ULS (unweighted LS)	ULS (невзвешенный МНК)
WLS (weighted LS)	WLS (взвешенный МНК)
GLS (generalized LS)	GLS (обобщённый МНК)
Invariance testing	Проверка инвариантности
Disabled	Отключено
Missing data	Пропущенные данные
Listwise deletion	Исключение наблюдений со пропусками
FIML (full information ML)	FIML (полноинформационный ML)
Standardization	Стандартизация
Unstandardized	Нестандартизованный
Completely standardized	Полностью стандартизованный
Standardized (latent only)	Стандартизованный (только латентные)
Bootstrap	Бутстрап
Bootstrap confidence intervals	Бутстрапные доверительные интервалы
Uses bias-corrected accelerated (BCa) intervals. Replications controlled in Settings.	Используются скорректированные по смещению ускоренные интервалы (BCa). Число репликаций задаётся в настройках.
Parameter estimates	Оценки параметров
Modification indices	Индексы модификации
Factor reliability (CR, AVE)	Надёжность факторов (CR, AVE)
Residual correlation matrix	Матрица остаточных корреляций
Discriminant validity	Дискриминантная валидность
lavaan syntax	Синтаксис lavaan
Copy	Копировать
First residual covariance variable	Первая переменная остаточной ковариации
Second residual covariance variable	Вторая переменная остаточной ковариации
Finalizing...	Завершение...
Fitting CFA model (bootstrapped — may take a while)	Подгонка модели КФА (с бутстрапом — может занять время)
Fitting CFA model	Подгонка модели КФА
Extracting results	Извлечение результатов
Extracting parameter estimates	Извлечение оценок параметров
Computing R-squared	Вычисление R-квадрат
Computing reliability metrics	Вычисление показателей надёжности
Computing discriminant validity	Вычисление дискриминантной валидности
Computing modification indices	Вычисление индексов модификации
Computing residual correlations	Вычисление остаточных корреляций
Checking missing data	Проверка пропущенных данных
Checking covariance matrix	Проверка матрицы ковариаций
Checking high correlations	Проверка высоких корреляций
Computing Mahalanobis distances	Вычисление расстояний Махаланобиса
Checking sample size adequacy	Проверка достаточности объёма выборки
Checking for ordinal variables	Проверка наличия порядковых переменных
Fitting {n} models	Подгонка {n} моделей
Extracting fit indices	Извлечение индексов подгонки
Running model comparisons	Выполнение сравнений моделей
Done	Готово
Fitting configural model	Подгонка конфигуральной модели
Fitting metric model	Подгонка метрической модели
Fitting scalar model	Подгонка скалярной модели
Fitting strict model	Подгонка строгой модели
Computing model comparisons	Вычисление сравнений моделей
Extracting per-group parameters	Извлечение параметров по группам
Extracting latent means	Извлечение латентных средних
No numerical variables selected.	Числовые переменные не выбраны.
Could not detect factor structure. Variables should be named like 'factor_item' (e.g., 'anx_1', 'anx_2').	Не удалось определить структуру факторов. Переменные должны быть названы по шаблону 'фактор_индикатор' (например, 'anx_1', 'anx_2').
Model restored	Модель восстановлена
Factor not found: {name}	Фактор не найден: {name}
Please select two variables.	Пожалуйста, выберите две переменные.
Please select two different variables.	Пожалуйста, выберите две разные переменные.
This residual covariance is already specified.	Эта остаточная ковариация уже задана.
Please define a model with at least 2 indicators, or select at least 2 numerical variables.	Пожалуйста, определите модель с не менее чем 2 индикаторами или выберите не менее 2 числовых переменных.
Error running diagnostics: 	Ошибка при выполнении диагностики: 
No factors defined	Факторы не определены
Factor {name} needs at least 2 indicators (has {count})	Фактор {name} требует не менее 2 индикаторов (задано: {count})
Second-order factor {name} needs at least 2 first-order factors (has {count})	Фактор второго порядка {name} требует не менее 2 факторов первого порядка (задано: {count})
Model is under-identified (df = {df})	Модель неидентифицируема (df = {df})
Model is just-identified (df = 0) — fit indices may not be meaningful	Модель точно идентифицируема (df = 0) — индексы подгонки могут не иметь смысла
Model validation failed:	Валидация модели не пройдена:
Running CFA...	Выполнение КФА...
Error running CFA: 	Ошибка при выполнении КФА: 
Group variable not found in data.	Переменная группы не найдена в данных.
At least 2 groups are required for invariance testing. Found {count}.	Для проверки инвариантности требуется не менее 2 групп. Найдено: {count}.
Running partial invariance testing...	Выполнение проверки частичной инвариантности...
Running invariance testing...	Выполнение проверки инвариантности...
Error running invariance testing: 	Ошибка при проверке инвариантности: 
0 (ref)	0 (реф.)
Model {n}	Модель {n}
Error comparing models: 	Ошибка сравнения моделей: 
Could not compute	Не удалось вычислить
Copied to clipboard	Скопировано в буфер обмена
Line {n}: missing factor name before =~	Строка {n}: отсутствует имя фактора перед =~
Line {n}: no indicators after =~	Строка {n}: нет индикаторов после =~
Line {n}: no variable after ~~	Строка {n}: нет переменной после ~~
Line {n}: unrecognized syntax (expected =~ or ~~)	Строка {n}: нераспознанный синтаксис (ожидается =~ или ~~)
Unknown variable: {name}	Неизвестная переменная: {name}
Factor {factor} references itself as an indicator	Фактор {factor} ссылается на себя как на индикатор
Duplicate indicator {name} in factor {factor}	Дублирующийся индикатор {name} в факторе {factor}
Syntax imported successfully	Синтаксис успешно импортирован
Select numerical variables to define the model	Выберите числовые переменные для задания модели
No residual covariances specified	Остаточные ковариации не заданы
Groups	Группы
At least 2 groups are required for invariance testing.	Для проверки инвариантности требуется не менее 2 групп.
At least one group has fewer observations ({n}) than free parameters ({p}). Results may be unreliable or estimation may fail.	В одной из групп наблюдений ({n}) меньше, чем свободных параметров ({p}). Результаты могут быть ненадёжными или оценка может завершиться ошибкой.
At least one group has fewer than 50 observations. Consider whether sample size is adequate.	В одной из групп менее 50 наблюдений. Оцените достаточность объёма выборки.
Issues detected	Обнаружены проблемы
- review the diagnostics below before running CFA	— ознакомьтесь с диагностикой ниже перед запуском КФА
Data looks good	Данные в порядке
- no major issues detected	— существенных проблем не обнаружено
({total} total, {complete} complete cases)	({total} всего, {complete} полных наблюдений)
N:parameter ratio:	Соотношение N:параметр:
(potentially underpowered, recommend 5-10:1)	(возможно недостаточная мощность, рекомендуется 5–10:1)
Factors:	Факторы:
Indicators:	Индикаторы:
Estimator:	Метод оценки:
(bootstrap, {reps} replications)	(бутстрэп, {reps} повторений)
Degrees of freedom:	Степени свободы:
Free parameters:	Свободные параметры:
Suggestions:	Рекомендации:
Warning:	Предупреждение:
Model did not converge. Results may be unreliable.	Модель не сошлась. Результаты могут быть ненадёжными.
Per-group χ² contributions (configural)	Вклад в χ² по группам (конфигуральная модель)
Note:	Примечание:
The configural model shows poor fit. Invariance constraints are being applied to a model that does not adequately represent the data in at least one group. Consider improving model specification before interpreting invariance results.	Конфигуральная модель имеет неудовлетворительное соответствие. Ограничения инвариантности применяются к модели, которая не адекватно представляет данные хотя бы в одной группе. Рассмотрите улучшение спецификации модели перед интерпретацией результатов инвариантности.
Configural model failed:	Ошибка конфигуральной модели:
Loadings freed	Нагрузки освобождены
Intercepts freed	Интерсепты освобождены
Residual variances freed	Остаточные дисперсии освобождены
Freed parameters:	Освобождённые параметры:
df = {df}, p = {p}	df = {df}, p = {p}
90% CI [{lower}, {upper}]	90% ДИ [{lower}, {upper}]
p-close = {value}	p-close = {value}
Heywood case (negative variance)	Случай Хейвуда (отрицательная дисперсия)
OK	OK
Remove factor	Удалить фактор
Add factor	Добавить фактор
Remove loading	Удалить нагрузку
Remove second-order factor	Удалить фактор второго порядка
Add second-order factor	Добавить фактор второго порядка
Consider using FIML for missing data handling.	Рассмотрите использование FIML для обработки пропущенных данных.
Low variance detected in: {variables}.	Обнаружена низкая дисперсия в: {variables}.
Non-normality detected. Consider using a robust estimator (MLM, MLMVS).	Обнаружено нарушение нормальности. Рассмотрите использование робастного оценщика (MLM, MLMVS).
Covariance matrix is not positive-definite. Check for linear dependencies or highly correlated variables.	Матрица ковариаций не является положительно определённой. Проверьте наличие линейных зависимостей или высококоррелированных переменных.
Covariance matrix is ill-conditioned. Some variables may be nearly collinear.	Матрица ковариаций плохо обусловлена. Некоторые переменные могут быть почти коллинеарными.
High correlations (r > 0.85) detected between some variables. This may cause estimation problems.	Обнаружены высокие корреляции (r > 0,85) между некоторыми переменными. Это может привести к проблемам при оценке.
Multivariate non-normality detected. Consider using a robust estimator (MLM, MLMVS, MLMV).	Обнаружена многомерная ненормальность. Рассмотрите использование робастного оценщика (MLM, MLMVS, MLMV).
{nOutliers} potential multivariate outlier(s) detected ({percentOutliers}% of cases). Consider inspecting these cases.	Обнаружено {nOutliers} потенциальных многомерных выброса(ов) ({percentOutliers}% наблюдений). Рекомендуется проверить эти наблюдения.
Sample size may be inadequate. Recommend at least 5-10 cases per variable.	Объём выборки может быть недостаточным. Рекомендуется не менее 5–10 наблюдений на переменную.
Sample size ({nComplete} complete cases) is below the minimum required for robust weight matrix estimation ({gammaMinN} = p(p+1)/2). DWLS, WLS, and robust ML estimators (MLM, MLMVS) may fail or produce unreliable results. Consider using ML or reducing the number of variables.	Объём выборки ({nComplete} полных наблюдений) ниже минимально необходимого для надёжной оценки весовой матрицы ({gammaMinN} = p(p+1)/2). Методы DWLS, WLS и робастные оценщики ML (MLM, MLMVS) могут дать сбой или ненадёжные результаты. Рассмотрите использование ML или сокращение числа переменных.
Likely ordinal variables detected: {variables}. Consider using DWLS estimator for ordinal data.	Обнаружены вероятно порядковые переменные: {variables}. Рассмотрите использование метода DWLS для порядковых данных.
Checking {n} indicators specified in the model	Проверка {n} индикаторов, заданных в модели
Checking all {n} selected variables (no model defined yet)	Проверка всех {n} выбранных переменных (модель ещё не задана)
Sample size (n)	Объём выборки (N)
Cases per variable	Наблюдений на переменную
Min. N for weight matrix (p(p+1)/2)	Мин. N для весовой матрицы (p(p+1)/2)
Complete cases are below the weight matrix threshold. DWLS, WLS, and robust ML estimators (MLM, MLMVS) may fail or produce unreliable results. Consider using ML or reducing the number of variables.	Число полных наблюдений ниже порога для весовой матрицы. Методы DWLS, WLS и робастные оценщики ML (MLM, MLMVS) могут дать сбой или ненадёжные результаты. Рассмотрите использование ML или сокращение числа переменных.
Total missing	Всего пропущенных
Positive definite	Положительно определённая
Yes	Да
Minimum eigenvalue	Минимальное собственное значение
Condition number	Число обусловленности
Covariance matrix	Матрица ковариаций
Mardia's skewness	Асимметрия по Мардиа
Non-normal	Ненормальное
Mardia's kurtosis	Эксцесс по Мардиа
Multivariate normality	Многомерная нормальность
Result	Результат
Cases checked	Проверено наблюдений
Chi-square threshold (p < .001)	Порог хи-квадрат (p < ,001)
Degrees of freedom	Степени свободы
Outliers detected	Обнаружено выбросов
Mahalanobis outlier detection	Обнаружение выбросов по Махаланобису
Cases with Mahalanobis distance exceeding the chi-square critical value (p < .001) may be multivariate outliers. Inspect these cases before proceeding.	Наблюдения, у которых расстояние Махаланобиса превышает критическое значение хи-квадрат (p < ,001), могут являться многомерными выбросами. Проверьте их перед продолжением.
Row	Строка
Mahal. Distance	Расст. Махаланобиса
Outlier cases	Наблюдения-выбросы
High correlations (r > 0.85) — {count} pairs	Высокие корреляции (r > 0,85) — {count} пар
Non-normal variables	Ненормальные переменные
Low variance variables	Переменные с низкой дисперсией
User-marked + detected	Отмечено пользователем + обнаружено
User-marked	Отмечено пользователем
Auto-detected	Обнаружено автоматически
Ordinal variables	Порядковые переменные
Ordinal variables detected. Consider using the DWLS estimator, which is specifically designed for ordinal data.	Обнаружены порядковые переменные. Рассмотрите использование метода DWLS, специально предназначенного для порядковых данных.
Recommendations:	Рекомендации:
CFA data diagnostics	Диагностика данных КФА
CFA diagnostics	Диагностика КФА
Restore this model	Восстановить эту модель
Remove from comparison	Убрать из сравнения
Add to comparison	Добавить в сравнение
Check for highly correlated indicators (r > 0.9)	Проверьте наличие сильно коррелирующих индикаторов (r > 0,9)
Check for linear dependencies between variables	Проверьте наличие линейных зависимостей между переменными
Try removing variables with very low variance	Попробуйте удалить переменные с очень низкой дисперсией
Consider using a different estimator (e.g., DWLS)	Попробуйте использовать другой метод оценки (например, DWLS)
Try simplifying the model (fewer factors or cross-loadings)	Попробуйте упростить модель (меньше факторов или перекрёстных нагрузок)
Check for highly correlated indicators	Проверьте наличие сильно коррелирующих индикаторов
Consider a different estimator	Рассмотрите другой метод оценки
Sample size may be insufficient for model complexity	Объём выборки может быть недостаточным для сложности модели
CFA	КФА
Factor covariances/correlations	Ковариации/корреляции факторов
Factor variances	Дисперсии факторов
Residual variances	Остаточные дисперсии
R² (variance explained)	R² (объяснённая дисперсия)
Factor reliability	Надёжность факторов
Standardized residual correlations	Стандартизованные остаточные корреляции
Measurement invariance testing ({count} freed)	Проверка измерительной инвариантности ({count} освобождено)
Measurement invariance testing	Проверка измерительной инвариантности
Invariance	Инвариантность
With smaller group sizes, practical fit criteria (ΔCFI ≤ .01, ΔRMSEA ≤ .015) are generally more reliable than the χ² difference test, which tends to be oversensitive.	При малых размерах групп практические критерии соответствия (ΔCFI ≤ .01, ΔRMSEA ≤ .015) обычно надёжнее критерия разности χ², который склонен к избыточной чувствительности.
Metric invariance — parameter differences	Метрическая инвариантность — различия параметров
Scalar invariance — parameter differences	Скалярная инвариантность — различия параметров
Strict invariance — parameter differences	Строгая инвариантность — различия параметров
Re-run with freed parameters	Повторить с освобождёнными параметрами
Mixed	Смешанная
Configural	Конфигуральная
Metric (weak)	Метрическая (слабая)
Scalar (strong)	Скалярная (сильная)
Strict	Строгая
Did not converge	Не сошлась
Baseline	Базовая
Level	Уровень
χ²	χ²
Δχ²	Δχ²
Δdf	Δdf
ΔCFI	ΔCFI
ΔRMSEA	ΔRMSEA
Verdict	Заключение
Invariance comparison	Сравнение инвариантности
Metric invariance holds — factor loadings are equivalent across groups.	Метрическая инвариантность подтверждена — факторные нагрузки эквивалентны между группами.
Metric invariance was not supported. Consider freeing non-invariant parameters (partial invariance).	Метрическая инвариантность не подтверждена. Рассмотрите освобождение неинвариантных параметров (частичная инвариантность).
Metric invariance: criteria disagree. Review practical fit criteria (ΔCFI, ΔRMSEA) alongside the χ² difference test.	Метрическая инвариантность: критерии расходятся. Сравните практические критерии соответствия (ΔCFI, ΔRMSEA) с критерием разности χ².
Scalar invariance holds — intercepts are equivalent, allowing latent mean comparisons across groups.	Скалярная инвариантность подтверждена — интерсепты эквивалентны, что позволяет сравнивать латентные средние между группами.
Scalar invariance was not supported. Consider freeing non-invariant parameters (partial invariance).	Скалярная инвариантность не подтверждена. Рассмотрите освобождение неинвариантных параметров (частичная инвариантность).
Scalar invariance: criteria disagree. Review practical fit criteria (ΔCFI, ΔRMSEA) alongside the χ² difference test.	Скалярная инвариантность: критерии расходятся. Сравните практические критерии соответствия (ΔCFI, ΔRMSEA) с критерием разности χ².
Strict invariance holds — residual variances are equivalent across groups.	Строгая инвариантность подтверждена — остаточные дисперсии эквивалентны между группами.
Strict invariance was not supported. Consider freeing non-invariant parameters (partial invariance).	Строгая инвариантность не подтверждена. Рассмотрите освобождение неинвариантных параметров (частичная инвариантность).
Strict invariance: criteria disagree. Review practical fit criteria (ΔCFI, ΔRMSEA) alongside the χ² difference test.	Строгая инвариантность: критерии расходятся. Сравните практические критерии соответствия (ΔCFI, ΔRMSEA) с критерием разности χ².
Parameter	Параметр
Mean Δ	Среднее Δ
Scalar invariance was not established — latent mean comparisons should be interpreted with caution.	Скалярная инвариантность не установлена — сравнение латентных средних следует интерпретировать с осторожностью.
{group} (Est.)	{group} (Оценка)
Latent means are estimated from the scalar invariance model. The first group serves as the reference (means fixed to 0).	Латентные средние оцениваются на основе модели скалярной инвариантности. Первая группа служит референсной (средние зафиксированы на 0).
Latent mean differences	Различия латентных средних
χ² (Scaled)	χ² (масштабированный)
χ² (Chi-square)	χ² (хи-квадрат)
TLI (NNFI)	TLI (NNFI)
GFI	GFI
AGFI	AGFI
NFI	NFI
RFI	RFI
IFI	IFI
PNFI	PNFI
PGFI	PGFI
Sample-adjusted BIC	BIC с поправкой на объём выборки
Details	Подробности
Robust/scaled indices reported for the selected estimator.	Для выбранного метода оценки приведены робастные/масштабированные индексы.
Indicator	Индикатор
Std. Estimate	Станд. оценка
Factor 1	Фактор 1
Factor 2	Фактор 2
Std. (Correlation)	Станд. (корреляция)
Negative variance estimates detected. This suggests model misspecification or estimation problems.	Обнаружены отрицательные оценки дисперсии. Это свидетельствует о неверной спецификации модели или проблемах с оценкой.
Below threshold	Ниже порога
Cronbach's α	α Кронбаха
McDonald's ω	ω Макдональда
Composite reliability	Составная надёжность
AVE	AVE
Values below 0.85 indicate good discriminant validity. Values 0.85–0.90 are borderline.	Значения ниже 0,85 свидетельствуют о хорошей дискриминантной валидности. Значения 0,85–0,90 являются пограничными.
HTMT (heterotrait-monotrait ratio)	HTMT (соотношение гетеротрейт-монотрейт)
Diagonal shows √AVE. Off-diagonal correlations should be smaller than √AVE of both factors.	На диагонали — √AVE. Корреляции вне диагонали должны быть меньше √AVE обоих факторов.
Fornell-Larcker criterion	Критерий Форнелла–Ларкера
MI	ИМ
EPC	OЗП
Suggested residual covariances	Рекомендуемые ковариации остатков
Cross-loadings change the theoretical factor structure. Apply only when theoretically justified.	Перекрёстные нагрузки изменяют теоретическую структуру факторов. Применяйте только при теоретическом обосновании.
Suggested cross-loadings	Рекомендуемые перекрёстные нагрузки
Other modification indices	Прочие индексы модификации
Modifications should be theoretically justified, not purely data-driven. Applying many modifications risks overfitting to sample-specific variance.	Модификации должны быть теоретически обоснованы, а не продиктованы только данными. Применение многих модификаций повышает риск переобучения к выборочной дисперсии.
No substantial modification indices found.	Существенных индексов модификации не найдено.
Fit indices comparison	Сравнение индексов подгонки
Chi-square difference test is valid for nested models only. A significant result indicates the more constrained model fits significantly worse.	Критерий разности хи-квадрат применим только для вложенных моделей. Значимый результат означает, что более ограниченная модель подходит значительно хуже.
Chi-square difference tests	Критерий разности хи-квадрат
No nested model pairs detected. Compare using information criteria (AIC, BIC) — lower values indicate better fit.	Вложенные пары моделей не обнаружены. Сравните по информационным критериям (AIC, BIC) — меньшие значения соответствуют лучшей подгонке.
Model comparison notes	Примечания к сравнению моделей
Please enter lavaan syntax first.	Сначала введите синтаксис lavaan.
No factor definitions (=~) found in syntax.	В синтаксисе не найдено определений факторов (=~).

# === planner-view ===
Plan your study with power analysis, effect size conversion, and more.	Планируйте исследование с помощью анализа мощности, конвертации размера эффекта и других инструментов.
Power analysis	Анализ мощности
Test type	Тип критерия
One-sample t-test	Одновыборочный t-критерий
Pearson correlation	Корреляция Пирсона
Multiple regression	Множественная регрессия
Chi-square goodness of fit	Хи-квадрат: критерий согласия
One-sample proportion	Одновыборочная пропорция
Two-sample proportion	Двухвыборочная пропорция
Solve for	Вычислить
Power	Мощность
Effect size ({symbol})	Размер эффекта ({symbol})
Cohen's d for t-tests	d Коэна для t-критериев
Significance level (α)	Уровень значимости (α)
Power (1 - β)	Мощность (1 - β)
Sample size (per group)	Размер выборки (на группу)
Tails	Направленность
Two-tailed (μ ≠ μ₀)	Двусторонний (μ ≠ μ₀)
One-tailed (μ > μ₀)	Односторонний (μ > μ₀)
One-tailed (μ < μ₀)	Односторонний (μ < μ₀)
Number of groups	Количество групп
Numerator df (effect)	df числителя (эффект)
Degrees of freedom for the effect of interest	Степени свободы для исследуемого эффекта
Denominator df (error)	df знаменателя (ошибка)
Number of predictors	Количество предикторов
